Inventaire;Cote;Rubrique;Genre;Titre;SousTitre;ISBN;Auteur;Illustrateur;Annee;Editeur;Collection;Numero;Support;Mots-clefs;Niveau;Description;Taille;Date achat;Financement;Empruntable
785;800.000;Lire des histoires;Album;Ils ont arrété mon père;"";"";Carmi (Danielle);"";"";"";"";"";Livre;histoires vécues;"";"";"";"";"";Oui
787;800.000;Lire des histoires;Romans et nouvelles;Stuart Little;"";2211056466;White (E.B.);"";2000;Ecole des loisirs;Neuf;"";Livre;histoire d'animaux, merveilleu;Cycle 3;M. et Mme Little attendaient un enfant, et c'est avec une souris de 5 centimètres de haut qu'ils sont rentrés de la maternité. Un souriceau prodige nommé Stuart, qui sait parler et marcher dès la naissance et pour lequel il va falloir rendre la maison confortable et sûre. Mais Stuart est un aventurier qui n'aime ni le confort ni la sécurité. Ce qu'il aime, c'est conduire des bolides modèles réduits, sur la route et sur les flots. Jouer à être le Président du Monde. Se battre au tir à l'arc avec un chat assassin. Tomber amoureux de Margalo, le roitelet femelle et partir à sa recherche, vers le Nord, infatigablement...;173 p;"";"";Oui
788;800.000;Lire des histoires;Album;Billy et son hibou;"";2211049893;Waddell (Martin);"";1991;Ecole des loisirs;Mouche de poche;"";Livre;histoire d'enfants, hibou;Cycle 3;Billy Lorgnon était trop petit pour aller à l'école. Il lui restait une semaine à attendre. "Après ton anniversaire, Billy !" disait sa maman. Alors Billy était furieux et il partait bouder sur son vélo, avec son hibou qui était son meilleur ami. L'avantage de partir bouder tout seul, c'est qu'on peut rencontrer des choses extraordinaires. Un cosmonaute par exemple. Avec des amis comme son hibou et le cosmonaute, la vie de Billy, même sans école, peut devenir palpitante.;"";"";"";Oui
799;800.000;Lire des histoires;Romans et nouvelles;Classe de mer;"";2211027997;Wagneur (Alain);"";1995;Ecole des loisirs;Neuf;"";Livre;mer : milieu, école, île;Cycle 3;La classe de mer, c'est quand on embarque des dizaines de CM2 braillards et excités en direction de l'île d'Yeu. C'est arriver à les faire se lever le matin, à les équiper en fonction de la météo et surtout, à ne pas les perdre, ni dans le château... ni en mer.      La classe de mer, c'est épuisant... surtout lorsqu'elle compte dans ses rangs un élément réputé à problèmes : Franck Rouveyre.;"";"";"";Oui
789;800.000;Lire des histoires;Poèmes et comptines;Chanson des escargots qui vont à l'enterrement;"";2070391981;Prévert (Jacques);Duhème (Jacqueline);1988;Gallimard;Folio benjamin;"";Livre;poésie, escargot;Cycle 1;Le célèbre poème de Prévert mis en album.;32 p;"";"";Oui
790;800.000;Lire des histoires;Romans et nouvelles;L'histoire de Renart;"";2-03-870229-2;Grosset-Bureau (Claude);Ceccarelli (Serge);1987;Larousse;Classiques junior;"";Livre;histoire d'animaux;Cours élémentaire;"";95;"";"";Oui
791;800.000;Lire des histoires;Contes;Frère Lapin prend le frais;Contes afro-américains;221103666X;"";"";2000;Ecole des loisirs;Neuf;"";Livre;conte, Amérique du nord : hist;Elémentaire;Un brave alligator qui n'a jamais quitté sa rivière et qui pense que le malheur est une curiosité à découvrir.Un homme doté de si grands pieds que les portes du paradis lui sont refusées, comme celles de l'enfer.Un serpent qui se fait marcher dessus à longueur de journée parce qu'en plus de l'avoir créé sans pattes ni ailes, Dieu l'a affligé d'une mauvaise vue.Un écureuil crédule, des grenouilles stupides, un lapin rusé, mais aussi Adam, Eve, le diable, les anges, Dieu, dans son rocking-chair, et Bill-des-chemins-fer qui est une sorte de Robin des Bois américains.Ils sont tous les héros de ces contes où l'humour le dispute à l'insolence, et où le culot est souvent la meilleure arme dont on dispose dans la vie.;"";"";"";Oui
792;800.000;Lire des histoires;Romans et nouvelles;Le nain et la petite crevette;"";2092750208;Sanvoisin (Eric);Rébéna (Frédéric);1997;Nathan;Demi lune;"";Livre;histoire d'enfants;Elémentaire;Maxime est si petit que personne ne veut jouer avec lui. En plus, il doit subir des piqûres d'hormones pour grandir. Un jour, il rencontre Petite Crevette. Elle est funambule et grâce à elle, il découvre que de là-haut, sous le chapiteau, la taille a peu d'importance.;14 cm 18.5 cm;"";"";Oui
793;618.000;Naissance - Bébés;Romans et nouvelles;La naissance;"";2884453229;Bourgoing (Pascale de);Gasté (Eric);1997;Calligram;A travers la fenêtre;24;Livre;naissance;Cours préparatoire;Maman ours attend un bébé. Le voilà! Martin et ses parents en prennent bien soin. Ce récit est agrémenté de (cinq) films transparents.;30 pages;"";"";Oui
794;618.000;Naissance - Bébés;Romans et nouvelles;La naissance;"";2884453229;Bourgoing (Pascale de);Gasté (Eric);1997;Calligram;A travers la fenêtre;24;Livre;naissance;Cours préparatoire;Maman ours attend un bébé. Le voilà! Martin et ses parents en prennent bien soin. Ce récit est agrémenté de (cinq) films transparents.;30 pages;"";"";Oui
795;800.000;Lire des histoires;Album;La rentrée;"";2884453075;Bourgoing (Pascale de);Hahn (Nadine);2004;Calligram;A travers la fenêtre;"";Livre;histoire d'enfants, école;Cycle 2;C'est la rentrée. Castorette découvre les plaisirs de la maternelle. Ce récit est agrémenté de (cinq) films transparents.;"";"";"";Oui
796;800.000;Lire des histoires;Album;La rentrée;"";2884453075;Bourgoing (Pascale de);Hahn (Nadine);2004;Calligram;A travers la fenêtre;"";Livre;histoire d'enfants, école;Cycle 2;C'est la rentrée. Castorette découvre les plaisirs de la maternelle. Ce récit est agrémenté de (cinq) films transparents.;"";"";"";Oui
798;597.000;Poissons - Batraciens - Reptiles;Album;Les requins;"";2736648234;Collectif;"";1998;Epigones;Fenêtres;"";Livre;requin, poisson;Elémentaire;Formidable machine à tuer, le requin est l'habitant des mers le plus redouté ! Qu'est-ce qu'un requin ? Comment sont leurs dents ? Y a-t-il beaucoup d'espèces de requins ? Quels sont les plus grands ? Les plus dangereux ? Que voit-on dans le ventre d'un requin ? A-t-il des techniques de camouflage ? Quel est son sens le plus développé ? Le requin attaque-t-il l'homme ? Comment se reproduit-il ? Où habitent-ils ? Mange-t-on du requin ? A-t-on trouvé des fossiles de requins ? Cet album vous donnera toutes ces réponses et bien d'autres encore...;"";"";"";Oui
