ISBN,Titre,Auteur,Editeur,Support,Cote,Date,Description
978-2-07-061234-5,Le Petit Prince,Saint-Exupéry,Gallimard,Livre,R SAI,1943,Histoire d'un petit prince qui voyage
978-2-07-051234-6,L'Étranger,Camus,Gallimard,Livre,R CAM,1942,Un homme confronté à l'absurdité
978-2-07-041234-7,Les Misérables,Hugo,Gallimard,Livre,R HUG,1862,Une épopée de la France du XIXe siècle
978-2-07-031234-8,Le Comte de Monte-Cristo,Dumas,Gallimard,Livre,R DUM,1844,Histoire de vengeance et de justice
978-2-07-021234-9,Voyage au centre de la Terre,Verne,Gallimard,Livre,R VER,1864,Aventure souterraine extraordinaire
,,Mozart - Symphonie n°40,,CD Audio,CD MOZ,1788,Musique classique
978-2-07-011234-1,1984,Orwell,Gallimard,Livre,R ORW,1949,Dystopie totalitaire
,,C'est pas sorcier - Les volcans,,DVD Vidéo,DVD VOL,,Documentaire éducatif
978-2-07-001234-2,Harry Potter à l'école des sorciers,Rowling,Gallimard,Livre + CD,R ROW,1997,Premier tome de la saga
978-2-07-091234-3,Astérix le Gaulois,Goscinny et Uderzo,Hachette,Bande dessinée,BD AST,1961,Premières aventures d'Astérix
