dc.title,dc.identifier,dc.creator,dc.contributor,dc.subject,dc.description,dc.publisher,dc.date,dc.type,dc.format,dc.source,dc.relation,dc.coverage,dc.rights,item.id,item.callNumber,item.acquisitionDate,item.fundingSource
Ils ont arrété mon père,,"Carmi, Danielle",,histoires vécues,,,,Text,,,,,Loanable,785,800.000,,
Stuart Little,2211056466,"White, E.B.",,histoire d'animaux|merveilleu,"M. et Mme Little attendaient un enfant, et c'est avec une souris de 5 centimètres de haut qu'ils sont rentrés de la maternité. Un souriceau prodige nommé Stuart, qui sait parler et marcher dès la naissance et pour lequel il va falloir rendre la maison confortable et sûre. Mais Stuart est un aventurier qui n'aime ni le confort ni la sécurité. Ce qu'il aime, c'est conduire des bolides modèles réduits, sur la route et sur les flots. Jouer à être le Président du Monde. Se battre au tir à l'arc avec un chat assassin. Tomber amoureux de Margalo, le roitelet femelle et partir à sa recherche, vers le Nord, infatigablement...",Ecole des loisirs,2000,Text,173 pages,Neuf,,Cycle 3,Loanable,787,800.000,,
Billy et son hibou,2211049893,"Waddell, Martin",,histoire d'enfants|hibou,"Billy Lorgnon était trop petit pour aller à l'école. Il lui restait une semaine à attendre. ""Après ton anniversaire, Billy !"" disait sa maman. Alors Billy était furieux et il partait bouder sur son vélo, avec son hibou qui était son meilleur ami. L'avantage de partir bouder tout seul, c'est qu'on peut rencontrer des choses extraordinaires. Un cosmonaute par exemple. Avec des amis comme son hibou et le cosmonaute, la vie de Billy, même sans école, peut devenir palpitante.",Ecole des loisirs,1991,Text,,Mouche de poche,,Cycle 3,Loanable,788,800.000,,
Classe de mer,2211027997,"Wagneur, Alain",,mer : milieu|école|île,"La classe de mer, c'est quand on embarque des dizaines de CM2 braillards et excités en direction de l'île d'Yeu. C'est arriver à les faire se lever le matin, à les équiper en fonction de la météo et surtout, à ne pas les perdre, ni dans le château... ni en mer.      La classe de mer, c'est épuisant... surtout lorsqu'elle compte dans ses rangs un élément réputé à problèmes : Franck Rouveyre.",Ecole des loisirs,1995,Text,,Neuf,,Cycle 3,Loanable,799,800.000,,
Chanson des escargots qui vont à l'enterrement,2070391981,"Prévert, Jacques","Duhème, Jacqueline",poésie|escargot,Le célèbre poème de Prévert mis en album.,Gallimard,1988,Text,32 pages,Folio benjamin,,Cycle 1,Loanable,789,800.000,,
L'histoire de Renart,2-03-870229-2,"Grosset-Bureau, Claude","Ceccarelli, Serge",histoire d'animaux,,Larousse,1987,Text,95,Classiques junior,,Cours élémentaire,Loanable,790,800.000,,
Frère Lapin prend le frais: Contes afro-américains,221103666X,,,conte|Amérique du nord : hist,"Un brave alligator qui n'a jamais quitté sa rivière et qui pense que le malheur est une curiosité à découvrir.Un homme doté de si grands pieds que les portes du paradis lui sont refusées, comme celles de l'enfer.Un serpent qui se fait marcher dessus à longueur de journée parce qu'en plus de l'avoir créé sans pattes ni ailes, Dieu l'a affligé d'une mauvaise vue.Un écureuil crédule, des grenouilles stupides, un lapin rusé, mais aussi Adam, Eve, le diable, les anges, Dieu, dans son rocking-chair, et Bill-des-chemins-fer qui est une sorte de Robin des Bois américains.Ils sont tous les héros de ces contes où l'humour le dispute à l'insolence, et où le culot est souvent la meilleure arme dont on dispose dans la vie.",Ecole des loisirs,2000,Text,,Neuf,,Elémentaire,Loanable,791,800.000,,
Le nain et la petite crevette,2092750208,"Sanvoisin, Eric","Rébéna, Frédéric",histoire d'enfants,"Maxime est si petit que personne ne veut jouer avec lui. En plus, il doit subir des piqûres d'hormones pour grandir. Un jour, il rencontre Petite Crevette. Elle est funambule et grâce à elle, il découvre que de là-haut, sous le chapiteau, la taille a peu d'importance.",Nathan,1997,Text,14 cm 18.5 cm,Demi lune,,Elémentaire,Loanable,792,800.000,,
La naissance,2884453229,"Bourgoing, Pascale de","Gasté, Eric",naissance,Maman ours attend un bébé. Le voilà! Martin et ses parents en prennent bien soin. Ce récit est agrémenté de (cinq) films transparents.,Calligram,1997,Text,30 pages,A travers la fenêtre,24,Cours préparatoire,Loanable,793,618.000,,
La naissance,2884453229,"Bourgoing, Pascale de","Gasté, Eric",naissance,Maman ours attend un bébé. Le voilà! Martin et ses parents en prennent bien soin. Ce récit est agrémenté de (cinq) films transparents.,Calligram,1997,Text,30 pages,A travers la fenêtre,24,Cours préparatoire,Loanable,794,618.000,,
La rentrée,2884453075,"Bourgoing, Pascale de","Hahn, Nadine",histoire d'enfants|école,C'est la rentrée. Castorette découvre les plaisirs de la maternelle. Ce récit est agrémenté de (cinq) films transparents.,Calligram,2004,Text,,A travers la fenêtre,,Cycle 2,Loanable,795,800.000,,
La rentrée,2884453075,"Bourgoing, Pascale de","Hahn, Nadine",histoire d'enfants|école,C'est la rentrée. Castorette découvre les plaisirs de la maternelle. Ce récit est agrémenté de (cinq) films transparents.,Calligram,2004,Text,,A travers la fenêtre,,Cycle 2,Loanable,796,800.000,,
Les requins,2736648234,Collectif,,requin|poisson,"Formidable machine à tuer, le requin est l'habitant des mers le plus redouté ! Qu'est-ce qu'un requin ? Comment sont leurs dents ? Y a-t-il beaucoup d'espèces de requins ? Quels sont les plus grands ? Les plus dangereux ? Que voit-on dans le ventre d'un requin ? A-t-il des techniques de camouflage ? Quel est son sens le plus développé ? Le requin attaque-t-il l'homme ? Comment se reproduit-il ? Où habitent-ils ? Mange-t-on du requin ? A-t-on trouvé des fossiles de requins ? Cet album vous donnera toutes ces réponses et bien d'autres encore...",Epigones,1998,Text,,Fenêtres,,Elémentaire,Loanable,798,597.000,,
Notre planète,2736648218,"Steedman, Scott","Scrace, Carolyn",terre,"Depuis toujours l'homme s'interroge sur sa planète. Comment se situe la Terre dans notre système solaire et dans l'univers ? Comment est né l'univers ? Qu'y a-t-il à l'intérieur de la terre ? Pourquoi la croûte terrestre bouge-t-elle ? Comment se déclenche une éruption volcanique ? un tremblement de terre ? Comment se forment le vent, les nuages, la pluie, les éclairs ? Comment se sont formés les mers, les montagnes, les glaciers ? Quelles ont été les premières formes de vie ? Est-ce que notre planète est en danger ? Grâce à la science, beaucoup de ces questions ont trouvé une réponse, comme vous le découvrirez tout au long de ce livre. Pourtant, la Terre n'a pas livré tous ses secrets et certains mystères demeurent.",Epigones,1999,Text,39 pages,Fenêtres,,Elémentaire,Loanable,1151,525.000,,
Sous les mers,273664820X,Collectif,,mer : géologie|mer : milieu,Comment la mer agit-elle sur le rivage ?  Qui vit dans l'océan ?  Les oiseaux de mer savent-ils nager ?  Qui fait les plus grands voyages ?  Comment respire-t-on sous l'eau ?  Pourquoi y a-t-il des marées ?  Les voiliers craignent-ils le vent ?  Qui pollue la mer ?  Comment protéger le bord de mer ?,Epigones,1997,Text,,Fenêtres,,Elémentaire,Loanable,1152,551.400,,
La photographie et le cinéma,2.7366.4819.6,"Graham, Ian","Hewetson, Nicholas",cinéma|photographie,"La photographie est omniprésente. Elle donne couleur et intérêt à la presse écrite, immortalise les moments importants de la vie. Comment est née la photographie ? Comment a-t-on utilisé les premières photos ? Qui a inventé le premier appareil photographique ? Comment marche un appareil de photos ? Que voit-on à l'intérieur ? A quoi sert le flash ? Comment la photo s'imprime-t-elle sur la pellicule ? Comment la développe-t-on ? Qu'est-ce qu'une photo satellite ? Comment les avions espions prennent-ils des photos ? Comment a-t-on animé les images ? Comment monter un film ? Comment faire des effets spéciaux et des trucages ? Et les dessins animés ? Cet album vous donnera toutes ces réponses et bien d'autres encore...",Epigones,1998,Text,39 pages,Fenêtres,18,Cycle 2,Loanable,1154,770.000,,
Thésée : comment tuer le Minotaure ?,,"Duché, Jean","Lapointe, Jean",conte,,Hachette,,Text,,Contes imagés,,Cycle 2,Loanable,803,800.000,,
Contes de ma mère l'Oye,2070514161,"Perrault, Charles","Doré, Gustave",conte,"Réédition. Les contes, au texte intégral, sont précédés d'un avant-propos instructif sur l'auteur. Dans la préface, Perrault énonce sa politique, ses règles du conte. Les illustrations de Doré, sévères, recréent le contexte historique. Un classique à lire sinon par plaisir, par discipline.",Gallimard,1999,Text,224 pages,Folio junior édition spéciale,,Cycle 3,Loanable,829,800.000,,
"Victor Hugo, un poète",2070551830,"Laster, Arnaud",,poésie,,Gallimard,2002,Text,139 pages,Folio junior en poésie,1 185,Cycle 3,Loanable,836,800.000,,
Le parapluie et autres contes,,"Maupassant, Guy De","Hochain, Serge",conte,,Larousse,,Text,,Classiques junior,,Cycle 3,Loanable,837,800.000,,
Les contes du chat perché,,"Aymé, Marcel",,conte,,Gallimard,,Text,,Folio,,Cycle 3,Loanable,838,800.000,,
Les contes bleus du chat perché,,"Aymé, Marcel","Dumas, Philippe",conte,,Gallimard,,Text,,Folio,,Cycle 3,Loanable,839,800.000,,
Le chat botté,,"Perrault, Charles","Molino, Roberto",conte,,Casterman,,Text,,Le croque livres,,Cycle 3,Loanable,840,800.000,,
Journal secret d'Adrien: 13 ans 3/4,,"Townsend, Sue",,histoire d'enfants,,Hachette,,Text,,Jeunesse,,Cycle 3,Loanable,841,800.000,,
